"","mu","N","theta","c","comp","n","probWTWin"
"218",1.58489319246111e-07,10000,0.00158489319246111,0.1,0.1,50,0.292340637013075
"219",1.99526231496888e-07,10000,0.00199526231496888,0.1,0.1,50,0.337662641119095
"220",2.51188643150958e-07,10000,0.00251188643150958,0.1,0.1,50,0.37141527816023
"221",3.16227766016838e-07,10000,0.00316227766016838,0.1,0.1,50,0.41110781875259
"222",3.98107170553497e-07,10000,0.00398107170553497,0.1,0.1,50,0.456070935939085
"223",5.01187233627272e-07,10000,0.00501187233627272,0.1,0.1,50,0.507031997723283
"224",6.30957344480193e-07,10000,0.00630957344480193,0.1,0.1,50,0.562581017709491
"225",7.94328234724282e-07,10000,0.00794328234724282,0.1,0.1,50,0.62137785936533
"226",1e-06,10000,0.01,0.1,0.1,50,0.682674901182244
"227",1.25892541179417e-06,10000,0.0125892541179417,0.1,0.1,50,0.743012647912576
"228",1.58489319246111e-06,10000,0.0158489319246111,0.1,0.1,50,0.801223972134062
"229",1.99526231496888e-06,10000,0.0199526231496888,0.1,0.1,50,0.853188132723223
"230",2.51188643150958e-06,10000,0.0251188643150958,0.1,0.1,50,0.897892625784794
"231",3.16227766016838e-06,10000,0.0316227766016838,0.1,0.1,50,0.933161384541797
"232",3.98107170553497e-06,10000,0.0398107170553497,0.1,0.1,50,0.959882912677856
"233",5.01187233627272e-06,10000,0.0501187233627272,0.1,0.1,50,0.977693685049629
"234",6.30957344480194e-06,10000,0.0630957344480194,0.1,0.1,50,0.988730891269091
"235",7.94328234724282e-06,10000,0.0794328234724282,0.1,0.1,50,0.994901014658126
"236",1e-05,10000,0.1,0.1,0.1,50,0.997968134306219
"237",1.25892541179417e-05,10000,0.125892541179417,0.1,0.1,50,0.99928135052126
"238",1.58489319246111e-05,10000,0.158489319246111,0.1,0.1,50,0.999782855524151
"239",1.99526231496888e-05,10000,0.199526231496888,0.1,0.1,50,0.999942889269662
"240",2.51188643150958e-05,10000,0.251188643150958,0.1,0.1,50,0.999986908895772
"241",3.16227766016838e-05,10000,0.316227766016838,0.1,0.1,50,0.999997364554733
"242",3.98107170553497e-05,10000,0.398107170553497,0.1,0.1,50,0.999999526626509
"243",5.01187233627273e-05,10000,0.501187233627272,0.1,0.1,50,0.99999993037502
"244",6.30957344480194e-05,10000,0.630957344480194,0.1,0.1,50,0.999999989437633
"245",7.94328234724282e-05,10000,0.794328234724282,0.1,0.1,50,0.999999998670046
"246",1e-04,10000,1,0.1,0.1,50,0.999999999839237
"247",0.000125892541179417,10000,1.25892541179417,0.1,0.1,50,0.999999999980625
"248",0.000158489319246111,10000,1.58489319246111,0.1,0.1,50,0.99999999999758
"249",0.000199526231496888,10000,1.99526231496888,0.1,0.1,50,0.999999999999675
"250",0.000251188643150958,10000,2.51188643150958,0.1,0.1,50,0.999999999999952
"251",0.000316227766016838,10000,3.16227766016838,0.1,0.1,50,0.999999999999992
"252",0.000398107170553498,10000,3.98107170553498,0.1,0.1,50,0.999999999999998
"253",0.000501187233627273,10000,5.01187233627273,0.1,0.1,50,1
"254",0.000630957344480194,10000,6.30957344480194,0.1,0.1,50,1
"255",0.000794328234724282,10000,7.94328234724282,0.1,0.1,50,1
"256",0.001,10000,10,0.1,0.1,50,1
"257",1e-08,10000,1e-04,0.1,0.2,50,0.0196858921333617
"258",1.25892541179417e-08,10000,0.000125892541179417,0.1,0.2,50,0.0246674203625025
