"Gen","WT","Res","comp1","comp2","comp3","comp4","comp5","comp6","comp7","comp8","comp9","comp10","comp11","comp12","comp13","comp14","comp15","comp16","comp17","comp18","comp19","comp20","comp21","comp22","comp23","comp24","comp25","comp26","comp27","comp28","comp29","comp30","comp31","comp32","comp33","comp34","comp35","comp36","comp37","comp38","comp39","comp40","comp41","comp42","comp43","comp44","comp45","comp46","comp47","comp48","comp49","comp50","comp51","comp52","comp53","comp54","comp55","comp56","comp57","comp58","comp59","comp60","comp61","comp62","comp63","comp64","comp65","comp66","comp67","comp68","comp69","comp70","comp71","comp72","comp73","comp74","comp75","comp76","comp77","comp78","comp79","comp80","comp81","comp82","comp83","comp84","comp85","comp86","comp87","comp88","comp89","comp90","comp91","comp92","comp93","comp94","comp95","comp96","comp97","comp98","comp99","comp100","CR","sum"
75,6597,1517,4,12,34,34,14,91,6,1,0,1,2,2,0,21,7,1,13,2,49,63,20,34,35,4,2,23,0,21,20,29,19,8,4,9,10,12,6,35,36,13,18,42,0,19,4,16,11,23,3,18,33,18,29,22,0,5,55,57,20,31,54,0,1,2,8,7,8,6,9,24,17,11,7,62,43,19,0,18,17,4,6,45,15,12,2,15,28,5,0,28,6,24,0,47,3,1,25,4,0,0,182,1704
76,6775,1404,3,8,32,30,13,90,4,0,0,0,1,3,0,24,9,1,13,2,43,55,18,23,30,2,1,14,0,16,18,29,22,6,4,9,10,9,5,34,29,7,22,43,1,13,3,14,10,22,5,23,33,16,28,29,0,3,56,59,21,31,62,0,1,1,10,5,15,6,10,27,14,14,4,45,51,18,1,23,18,6,5,49,13,8,1,14,26,4,1,18,5,24,0,51,3,1,18,3,0,0,197,1624
77,6916,1317,0,4,26,28,14,90,1,0,1,0,1,2,0,28,10,2,12,5,43,50,15,20,23,3,2,9,0,21,14,26,26,3,2,11,10,9,7,42,35,4,20,40,0,7,2,15,8,18,4,25,27,13,28,33,0,2,57,63,20,25,75,0,1,1,9,5,14,7,16,21,11,13,5,46,51,20,0,15,16,3,7,42,12,11,0,16,19,1,2,18,4,26,0,53,2,2,20,4,0,1,192,1575
78,7104,1209,0,3,22,17,8,79,0,0,0,0,2,0,0,16,8,0,15,4,36,51,17,21,15,5,2,13,0,23,12,26,34,2,0,6,9,11,6,44,31,3,18,38,0,6,2,6,10,15,4,25,24,8,24,33,0,4,63,69,14,24,80,0,2,0,6,8,13,5,8,24,12,13,7,38,60,29,0,5,11,1,5,39,12,8,0,11,21,0,0,19,5,34,1,49,0,3,16,7,0,3,204,1483
79,7227,1123,0,1,21,18,8,88,0,0,1,0,2,0,0,13,10,0,12,4,40,34,20,28,7,3,4,15,0,22,11,27,37,3,1,9,10,13,4,50,30,1,25,39,0,9,2,5,10,16,6,31,18,7,32,30,0,4,57,55,11,10,88,0,2,0,4,6,10,9,1,20,11,11,5,44,57,27,0,6,10,0,3,45,5,5,1,10,17,0,0,14,3,29,2,48,0,0,16,7,0,5,215,1435
80,7426,1067,0,0,20,16,8,66,0,0,1,0,2,1,0,8,9,0,14,4,46,29,12,27,5,1,4,15,0,16,13,37,40,3,1,8,7,16,2,36,32,2,20,38,0,4,2,8,11,17,2,25,19,8,23,26,0,5,56,47,10,12,77,0,1,0,2,7,8,10,1,12,12,9,8,34,49,20,0,7,8,0,3,34,3,3,1,11,11,0,0,13,4,29,0,51,0,0,17,3,0,5,220,1287
81,7543,989,0,0,9,20,7,61,0,0,1,0,1,1,0,3,8,0,14,5,36,23,11,21,3,0,1,9,0,19,13,31,40,2,3,12,10,18,0,39,44,0,19,45,0,7,1,9,3,18,1,28,16,8,19,20,0,3,55,46,7,12,82,0,3,0,3,9,7,8,1,15,11,13,6,43,54,14,0,6,7,0,3,33,3,3,4,11,9,0,0,18,3,19,0,51,0,0,17,0,0,4,226,1242
82,7738,902,0,0,5,21,5,54,0,0,1,0,0,1,0,4,11,0,17,6,26,25,11,15,6,0,0,4,0,13,15,38,32,2,3,9,7,16,0,36,44,0,15,33,0,4,2,15,2,13,2,25,18,3,19,18,0,0,60,38,3,12,67,0,3,0,2,6,9,14,3,15,9,15,5,40,47,15,0,2,4,0,3,37,2,4,0,13,9,0,0,14,2,18,0,49,0,0,16,0,0,3,225,1135
83,7962,806,0,0,7,25,3,56,0,0,1,0,0,0,0,4,11,0,12,5,30,31,10,10,6,0,0,6,0,9,10,44,24,3,1,5,8,12,0,33,50,0,15,25,0,2,0,11,2,12,2,15,17,2,16,14,0,0,44,33,1,17,61,1,2,0,3,7,12,13,2,13,5,18,0,39,43,11,0,2,5,0,2,27,0,4,1,15,2,0,0,4,0,18,0,42,1,0,15,0,0,4,216,1016
84,8075,743,0,0,7,24,1,41,0,0,1,0,0,0,1,1,8,0,20,3,29,34,12,7,6,0,0,7,0,10,8,39,27,2,1,5,7,15,0,24,46,0,19,25,0,3,0,4,1,14,2,11,23,1,9,8,0,0,39,37,0,19,69,1,1,0,5,5,15,9,3,10,2,22,0,39,30,15,0,0,3,0,2,27,0,3,0,13,2,1,0,7,0,22,0,41,1,0,13,0,0,4,216,966
85,8238,626,0,0,10,24,1,36,0,0,0,0,0,0,3,2,3,0,21,2,25,33,10,8,6,0,0,4,0,16,9,42,21,2,0,8,8,7,0,24,44,0,27,23,0,2,0,3,2,6,2,7,28,3,10,8,0,1,31,32,0,16,58,0,1,0,4,3,18,5,0,11,0,17,0,49,21,15,0,0,4,0,3,29,0,4,0,11,1,1,0,4,0,17,0,37,0,0,11,0,0,4,238,898
86,8309,557,0,0,12,22,1,34,0,1,0,0,0,0,4,0,3,0,19,2,29,28,9,6,6,0,0,2,0,13,8,45,19,4,0,9,9,4,0,30,39,0,29,15,0,1,0,3,5,5,1,11,27,1,9,5,0,1,29,29,0,18,64,0,0,0,3,3,17,7,0,11,0,18,0,40,24,10,0,0,9,0,7,32,0,5,0,15,1,1,0,3,0,11,0,42,0,0,10,0,0,3,251,883
87,8408,490,0,0,8,14,1,29,1,0,0,0,0,0,2,0,1,1,20,4,29,24,13,2,7,0,0,1,0,8,7,39,15,1,0,13,8,6,0,18,30,0,32,13,0,3,0,1,1,4,1,12,34,0,9,3,1,1,26,29,0,15,70,0,0,0,3,5,11,8,0,12,0,14,0,39,16,14,0,0,16,0,12,33,0,4,1,12,2,1,0,7,0,13,0,40,0,0,13,0,0,3,266,836
88,8554,389,0,0,8,16,0,21,0,0,1,0,0,0,2,0,0,0,16,3,37,14,12,0,10,0,0,0,0,11,8,34,20,0,0,11,6,9,0,20,28,0,32,9,0,4,0,0,2,4,1,8,41,0,5,2,0,1,20,32,0,18,65,0,0,0,1,6,14,8,0,9,0,10,0,47,15,14,0,0,15,0,9,31,0,6,0,10,2,2,0,3,0,12,0,37,0,0,19,0,0,2,254,803
89,8614,356,0,0,10,7,0,18,0,0,2,0,0,0,5,0,1,0,13,7,40,10,11,0,9,0,0,0,0,10,7,29,20,0,0,13,4,11,0,19,24,0,35,12,0,1,0,0,0,3,0,7,35,0,5,3,0,3,28,32,0,15,68,0,0,0,1,7,17,9,0,13,0,9,0,40,22,10,0,0,11,0,8,32,0,3,0,10,0,0,0,6,0,6,0,32,0,0,15,0,0,2,260,770
90,8645,342,0,0,6,6,0,14,0,0,3,1,0,0,5,0,0,0,15,9,41,12,11,0,14,0,0,0,0,9,11,27,23,0,0,11,4,6,0,12,27,0,28,14,1,2,0,0,0,6,0,4,29,0,2,5,0,3,25,27,0,19,53,0,0,1,2,4,12,7,0,12,0,7,0,26,22,10,0,0,10,0,5,43,0,3,0,12,0,0,0,5,0,6,0,22,0,0,17,0,0,4,298,715
91,8717,319,0,0,7,7,0,12,0,0,2,2,0,0,1,0,0,0,13,5,43,13,9,0,15,0,0,0,0,12,10,22,11,0,0,6,7,7,0,16,25,0,21,16,1,3,0,0,0,9,0,2,31,0,0,6,0,5,29,28,0,21,44,0,0,3,2,4,10,3,0,14,0,6,0,26,18,10,0,0,7,0,2,28,0,2,0,5,0,0,0,5,0,3,0,27,0,0,21,0,0,2,305,659
92,8825,274,0,0,6,10,0,9,0,0,2,1,0,0,1,0,0,0,12,5,40,11,4,0,17,0,0,0,0,17,9,23,11,0,0,8,7,5,0,16,33,0,17,21,0,2,0,0,0,9,0,3,26,0,0,6,0,2,21,28,0,13,37,0,0,2,1,3,10,3,0,13,0,4,0,28,11,11,0,0,9,0,1,25,0,0,0,4,0,0,0,6,0,5,0,23,0,0,9,0,0,1,300,601
93,8889,249,0,0,6,9,0,10,0,0,3,0,0,0,2,0,0,0,14,3,27,10,3,0,23,0,0,0,0,19,8,13,13,0,0,7,7,6,0,18,20,0,11,19,0,1,0,0,0,11,0,3,16,0,0,8,0,2,15,23,0,17,31,0,0,4,0,0,9,1,0,18,0,5,0,25,16,13,0,0,10,0,0,22,0,0,0,6,0,0,0,7,0,4,0,20,0,0,11,0,0,0,313,549
94,8928,209,0,0,9,8,0,12,0,0,1,0,0,0,2,0,0,0,24,3,26,14,2,0,27,0,0,1,0,14,11,14,19,0,0,8,6,6,0,19,17,0,14,21,0,1,0,0,0,13,0,2,15,0,0,7,0,2,17,18,0,11,29,0,0,3,0,0,7,1,0,10,0,9,0,25,17,11,0,0,9,0,0,20,0,0,0,6,0,0,0,5,0,3,0,12,0,0,7,1,1,0,323,540
95,8969,193,0,0,7,4,0,11,0,0,0,0,0,0,2,0,0,0,22,5,24,13,2,0,27,0,0,1,0,10,11,9,18,0,0,2,5,8,0,23,26,0,10,17,0,1,0,0,0,15,0,3,14,1,0,2,0,2,17,17,0,11,33,0,0,1,0,0,3,0,0,4,0,8,0,16,20,8,0,0,8,0,0,21,0,0,0,2,0,0,0,4,0,2,0,8,0,0,2,1,1,1,355,483
96,9005,170,0,0,6,2,0,7,0,0,0,0,0,0,0,0,0,0,36,4,20,9,1,0,27,0,0,1,0,11,10,8,20,0,0,2,6,5,0,21,22,0,6,19,0,2,0,0,1,20,0,2,18,0,0,3,0,3,17,19,0,16,33,0,0,2,0,0,3,0,0,1,0,10,0,16,20,5,0,0,5,0,0,21,0,0,0,3,0,0,0,3,0,1,0,3,0,0,1,1,0,2,351,474
97,9074,153,0,0,5,1,0,7,0,0,0,0,0,0,0,0,0,0,27,6,20,10,3,0,30,0,0,0,0,9,8,7,17,0,0,0,8,7,0,22,19,0,0,11,0,1,0,0,2,20,0,1,19,0,0,0,0,2,12,12,0,7,24,0,0,5,0,0,2,0,0,1,0,9,0,19,22,2,0,0,1,0,0,19,0,0,0,1,0,0,0,2,0,1,0,1,0,0,0,0,0,1,370,403
98,9067,142,0,0,5,3,0,9,0,0,0,0,0,0,0,0,0,0,26,11,21,15,4,0,22,0,0,0,0,14,5,7,12,0,0,0,6,9,0,21,20,0,0,9,0,2,0,0,3,19,0,0,16,0,0,0,0,0,18,12,0,5,25,0,0,4,0,0,1,0,0,0,0,4,0,20,24,1,0,0,0,0,0,13,0,0,0,1,0,1,0,4,0,0,0,0,0,0,0,0,0,1,398,393
99,9111,128,0,0,2,3,0,6,0,0,0,0,0,0,0,0,0,0,17,8,18,9,3,0,14,0,0,0,0,13,4,6,15,0,0,0,10,11,0,18,19,0,0,6,0,2,0,0,2,16,0,0,14,0,0,0,0,0,14,11,0,6,23,0,0,6,0,0,0,0,0,0,0,6,0,12,20,0,0,0,0,0,0,15,0,0,0,5,0,0,0,4,0,0,0,0,0,0,0,0,0,3,420,341
100,9168,115,0,0,0,4,0,7,0,0,0,0,0,0,0,0,0,0,18,6,17,8,4,0,12,0,0,0,0,13,4,7,14,0,0,0,13,8,0,15,20,0,0,9,0,2,0,0,1,12,0,0,17,0,0,0,0,0,18,11,0,5,15,0,0,6,0,0,0,0,0,0,0,7,0,11,12,0,0,0,0,0,0,12,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,2,404,313
