"Gen","WT","Res","comp1","comp2","comp3","comp4","comp5","comp6","comp7","comp8","comp9","comp10","comp11","comp12","comp13","comp14","comp15","comp16","comp17","comp18","comp19","comp20","comp21","comp22","comp23","comp24","comp25","comp26","comp27","comp28","comp29","comp30","comp31","comp32","comp33","comp34","comp35","comp36","comp37","comp38","comp39","comp40","comp41","comp42","comp43","comp44","comp45","comp46","comp47","comp48","comp49","comp50","comp51","comp52","comp53","comp54","comp55","comp56","comp57","comp58","comp59","comp60","comp61","comp62","comp63","comp64","comp65","comp66","comp67","comp68","comp69","comp70","comp71","comp72","comp73","comp74","comp75","comp76","comp77","comp78","comp79","comp80","comp81","comp82","comp83","comp84","comp85","comp86","comp87","comp88","comp89","comp90","comp91","comp92","comp93","comp94","comp95","comp96","comp97","comp98","comp99","comp100","CR","sum"
462,0,538,270,0,0,0,163,77,150,124,0,0,0,0,0,0,0,0,0,0,0,325,33,0,0,0,243,92,0,0,654,0,0,356,696,0,0,0,68,25,0,806,0,7,125,0,0,0,0,0,39,0,0,0,0,0,0,265,0,0,0,0,0,0,8,0,524,48,0,0,0,0,13,0,1292,0,0,0,283,0,0,0,0,0,0,0,0,105,9,111,0,119,0,0,128,377,0,1393,129,154,165,86,0,9462
463,0,536,279,0,0,0,155,81,145,137,0,0,0,0,0,0,0,0,0,0,0,336,45,0,0,0,267,84,0,0,631,0,0,390,649,0,0,0,65,24,0,801,0,7,150,0,0,0,0,0,34,0,0,0,0,0,0,240,0,0,0,0,0,0,3,0,490,64,0,0,0,0,18,0,1294,0,0,0,306,0,0,0,0,0,0,0,0,102,10,107,0,113,0,0,118,369,0,1426,128,149,159,88,0,9464
464,0,566,244,0,0,0,166,82,143,124,0,0,0,0,0,0,0,0,0,0,0,308,40,0,0,0,275,89,0,0,648,0,0,409,624,0,0,0,77,31,0,846,0,9,148,0,0,0,0,0,43,0,0,0,0,0,0,229,0,0,0,0,0,0,5,0,485,50,0,0,0,0,16,0,1239,0,0,0,323,0,0,0,0,0,0,0,0,105,10,103,0,110,0,0,106,387,0,1438,124,141,165,92,0,9434
465,0,542,251,0,0,0,164,81,160,127,0,0,0,0,0,0,0,0,0,0,0,304,40,0,0,0,277,87,0,0,620,0,0,386,599,0,0,0,68,31,0,849,0,9,153,0,0,0,0,0,44,0,0,0,0,0,0,246,0,0,0,0,0,0,8,0,553,46,0,0,0,0,13,0,1242,0,0,0,297,0,0,0,0,0,0,0,0,123,10,118,0,91,0,0,98,448,0,1409,117,144,155,90,0,9458
466,0,538,237,0,0,0,146,88,171,143,0,0,0,0,0,0,0,0,0,0,0,294,32,0,0,0,277,112,0,0,631,0,0,375,629,0,0,0,58,25,0,878,0,8,154,0,0,0,0,0,48,0,0,0,0,0,0,251,0,0,0,0,0,0,10,0,524,42,0,0,0,0,15,0,1249,0,0,0,319,0,0,0,0,0,0,0,0,113,18,120,0,83,0,0,88,438,0,1366,105,163,162,90,0,9462
467,0,526,260,0,0,0,150,80,159,143,0,0,0,0,0,0,0,0,0,0,0,286,24,0,0,0,278,102,0,0,670,0,0,349,620,0,0,0,64,18,0,905,0,7,172,0,0,0,0,0,45,0,0,0,1,0,0,252,0,0,0,0,0,0,12,0,534,52,0,0,0,0,17,0,1204,0,0,0,331,0,0,0,0,0,0,0,0,110,23,106,0,74,0,0,85,417,0,1420,88,161,170,85,0,9474
468,0,510,260,0,0,0,148,84,157,167,0,0,0,0,0,0,0,0,0,0,0,294,23,0,0,0,268,94,0,0,692,0,0,321,615,0,0,0,63,25,0,858,0,9,182,0,0,0,0,0,55,0,0,0,1,0,0,230,0,0,0,0,0,0,10,0,554,56,0,0,0,0,20,0,1220,0,0,0,356,0,0,0,0,0,0,0,0,108,26,99,0,64,0,0,87,381,0,1476,83,164,164,76,0,9490
469,0,502,252,0,0,0,145,85,179,173,0,0,0,0,0,0,0,0,0,0,0,297,20,0,0,0,284,106,0,0,688,0,0,352,591,0,0,0,64,20,0,850,0,10,152,0,0,0,0,0,53,0,0,0,0,0,0,229,0,0,0,0,0,0,11,0,582,60,0,0,0,0,19,0,1233,0,0,0,369,0,0,0,0,0,0,0,0,107,22,96,0,56,0,0,90,366,0,1470,81,159,150,77,0,9498
470,0,530,245,0,0,0,162,78,180,182,0,0,0,0,0,0,0,0,1,0,0,271,29,0,0,0,273,114,0,0,721,0,0,350,584,0,0,0,62,13,0,857,0,5,145,0,0,0,0,0,49,0,0,0,0,0,0,224,0,0,0,0,0,0,14,0,574,67,0,0,0,0,12,0,1186,0,0,0,393,0,0,0,0,0,0,0,0,119,14,96,0,53,0,0,88,357,0,1476,103,168,136,69,0,9470
471,0,523,236,0,0,0,157,83,213,173,0,0,0,0,0,0,0,0,1,0,0,298,29,0,0,0,293,112,0,0,744,0,0,354,565,0,0,0,66,20,0,844,0,6,133,0,0,0,0,0,58,0,0,0,0,0,0,220,0,0,0,0,0,0,8,0,588,52,0,0,0,0,11,0,1209,0,0,0,377,0,0,0,0,0,0,0,0,107,9,92,0,61,0,0,89,352,0,1448,105,171,129,64,0,9477
472,0,528,211,0,0,0,154,90,219,175,0,0,0,0,0,0,0,0,0,0,0,328,30,0,0,0,296,121,0,0,763,0,0,327,527,0,0,0,72,16,0,840,0,6,131,0,0,0,0,0,75,1,0,0,0,0,0,208,0,0,0,0,0,0,4,0,576,45,0,0,0,0,8,0,1200,0,0,0,371,0,0,0,0,0,0,0,0,100,12,91,0,49,0,0,90,389,0,1457,108,186,139,57,0,9472
473,0,509,191,0,0,0,166,81,213,181,0,0,0,0,0,0,0,0,0,0,0,324,28,0,0,0,283,122,0,0,749,0,0,342,481,0,0,0,73,18,0,847,0,8,130,0,0,0,0,0,63,3,0,0,0,0,0,230,0,0,0,0,0,0,6,0,573,60,0,0,0,0,5,0,1202,0,0,0,393,0,0,0,0,0,0,0,0,93,13,80,0,48,0,0,103,378,0,1554,93,174,125,58,0,9491
474,0,556,192,0,0,0,183,65,208,169,0,0,0,0,0,0,0,0,0,0,0,326,28,0,0,0,267,106,0,0,740,0,0,356,442,0,0,0,67,25,0,824,0,9,105,0,0,0,0,0,74,3,0,0,0,0,0,240,0,0,0,0,0,0,5,0,577,67,0,0,0,0,7,0,1227,0,0,0,416,0,0,0,0,0,0,0,0,96,18,86,0,42,0,0,103,354,0,1571,91,180,128,47,0,9444
475,0,550,169,0,0,0,158,70,206,168,0,0,0,0,0,0,0,0,0,0,0,342,35,0,0,0,250,119,0,0,706,0,0,360,446,0,0,0,70,28,0,806,0,6,91,0,0,0,0,0,76,2,0,0,0,0,0,251,0,0,0,0,0,0,4,0,578,42,0,0,0,0,7,0,1315,0,0,0,398,0,0,0,0,0,0,0,0,103,24,72,0,40,0,0,109,336,0,1615,90,179,115,63,1,9449
476,0,543,156,0,0,0,141,70,215,166,0,0,0,0,0,0,0,0,0,0,0,360,33,0,0,0,254,109,0,0,696,0,0,356,429,0,0,0,85,33,0,805,0,3,98,0,0,0,0,0,76,3,0,0,0,0,0,264,0,0,0,0,0,0,2,0,552,47,0,0,0,0,5,0,1314,0,0,0,405,0,0,0,0,0,0,0,0,107,23,60,0,49,0,0,119,353,0,1625,84,167,125,68,0,9457
477,0,520,165,0,0,0,141,82,216,177,0,0,0,0,0,0,0,0,0,0,0,374,36,0,0,0,255,111,0,0,657,0,0,379,432,0,0,0,84,41,0,725,0,3,111,0,0,0,0,0,67,2,0,0,0,0,0,251,0,0,0,0,1,0,0,0,559,54,0,0,0,0,6,0,1369,0,0,0,395,0,0,0,0,0,0,0,0,107,19,55,0,49,0,0,119,366,0,1597,84,191,125,75,0,9480
478,0,540,156,0,0,0,130,78,209,158,0,0,0,0,0,0,0,0,0,0,0,363,24,0,0,0,256,117,0,0,643,0,0,393,438,0,0,0,93,30,0,727,0,3,107,0,0,0,0,0,65,2,0,0,0,0,0,275,0,0,0,0,2,0,0,0,573,48,0,0,0,0,5,0,1334,0,0,0,384,0,0,0,0,0,0,0,0,127,27,64,0,48,0,0,118,385,0,1596,82,188,121,91,0,9460
479,0,551,166,0,0,0,129,89,180,150,0,0,0,0,0,0,0,0,0,0,0,388,17,0,0,0,242,114,0,0,660,0,0,413,469,0,0,0,88,42,0,742,0,6,106,0,0,0,0,0,68,3,0,0,0,0,0,258,0,0,0,0,0,0,0,0,542,44,0,0,0,0,1,0,1299,0,0,0,414,0,0,0,0,0,0,0,0,120,39,53,0,45,0,0,117,373,0,1601,73,195,118,85,0,9449
480,0,530,175,0,0,0,125,81,185,147,0,0,0,0,0,0,0,0,0,0,0,409,18,0,0,0,233,102,0,0,650,0,0,383,478,0,0,0,97,36,0,705,0,4,98,0,0,0,0,0,61,5,0,0,0,0,0,276,0,0,0,0,0,0,0,0,565,50,0,0,0,0,1,0,1271,0,0,0,426,0,0,0,0,0,0,0,0,124,39,69,0,42,0,0,113,389,0,1625,73,198,141,76,0,9470
481,0,540,183,0,0,0,121,69,195,129,0,0,0,0,0,0,0,0,0,0,0,416,25,0,0,0,233,89,0,0,646,0,0,388,473,0,0,0,95,28,0,725,0,5,100,0,0,0,0,0,49,5,0,0,0,0,0,301,0,0,0,0,0,0,0,0,569,47,0,0,0,0,0,0,1288,0,0,0,429,0,0,0,0,0,0,0,0,114,41,58,0,37,0,0,110,378,0,1620,72,210,138,74,0,9460
482,0,542,178,0,0,0,125,70,182,136,0,0,0,0,0,0,0,0,0,0,0,376,22,0,0,0,243,97,0,0,615,0,0,402,442,0,0,0,89,24,0,741,0,7,101,0,0,0,0,0,50,4,0,0,0,0,0,340,0,0,0,0,0,0,0,0,558,53,0,0,0,0,0,0,1240,0,0,0,461,0,0,0,0,0,0,0,0,121,34,61,0,39,0,0,115,387,0,1682,62,206,132,63,0,9458
483,0,558,163,0,0,0,103,62,163,119,0,0,0,0,0,0,0,0,0,0,0,378,19,0,0,0,225,94,0,0,630,0,0,445,464,0,0,0,78,40,0,736,0,4,95,0,0,0,0,0,51,1,0,0,0,0,0,370,0,0,0,0,0,0,0,0,582,53,0,0,0,0,0,0,1257,0,0,0,454,0,0,0,0,0,0,0,0,127,31,69,0,26,0,0,135,407,0,1633,60,187,120,61,0,9442
484,0,568,169,0,0,0,107,60,155,117,0,0,0,0,0,0,0,0,0,0,0,390,13,0,0,0,215,103,0,0,662,0,0,432,448,0,0,0,68,35,0,712,0,6,115,0,0,0,0,0,55,1,0,0,0,0,0,343,0,0,0,0,0,0,0,0,584,64,0,0,0,0,0,0,1218,0,0,0,413,0,0,0,0,0,0,0,0,125,40,80,0,28,0,0,147,408,0,1690,65,179,113,72,0,9432
485,0,569,168,0,0,0,131,56,171,114,0,0,0,0,0,0,0,0,0,0,0,394,13,0,0,0,220,95,0,0,625,0,0,458,426,0,0,0,68,38,0,703,0,7,108,0,0,0,0,0,46,1,0,0,0,0,0,372,0,0,0,0,0,0,0,0,600,64,0,0,0,0,0,0,1199,0,0,0,414,0,0,0,0,0,0,0,0,118,40,74,0,35,0,0,142,428,0,1697,62,161,107,76,0,9431
486,0,571,157,0,0,0,155,55,175,119,0,0,0,0,0,0,0,0,0,0,0,387,14,0,0,0,216,77,0,0,611,0,0,460,418,0,0,0,58,27,0,694,0,9,110,0,0,0,0,0,46,1,0,0,0,0,0,355,0,0,0,0,0,0,0,0,598,71,0,0,0,0,0,0,1236,0,0,0,431,0,0,0,0,0,0,0,0,112,37,80,0,39,0,0,141,406,0,1709,67,174,109,75,0,9429
487,0,552,149,0,0,0,152,54,173,134,0,0,0,0,0,0,0,0,0,0,0,378,17,0,0,0,208,71,0,0,595,0,0,466,387,0,0,0,60,32,0,710,0,7,129,0,0,0,0,0,37,2,0,0,0,0,0,326,0,0,0,0,0,0,1,0,611,82,0,0,0,0,0,0,1215,0,0,0,476,0,0,0,0,0,0,0,0,90,33,82,0,41,0,0,119,417,0,1778,59,154,131,72,0,9448
488,0,515,133,0,0,0,151,49,164,143,0,0,0,0,0,0,0,0,0,0,0,385,12,0,0,0,213,55,0,0,631,0,0,484,391,0,0,0,67,30,0,700,0,4,141,0,0,0,0,0,34,1,0,0,0,0,0,353,0,0,0,0,0,0,0,0,656,82,0,0,0,0,0,0,1221,0,0,0,483,0,0,0,0,0,0,0,0,74,31,67,0,44,0,0,112,420,0,1718,61,171,125,79,0,9485
489,0,503,137,0,0,0,163,57,168,116,0,0,0,0,0,0,0,0,0,0,0,399,12,0,0,0,227,50,0,0,615,0,0,498,407,0,0,0,68,28,0,683,0,6,161,0,0,0,0,0,25,0,0,0,0,0,0,353,0,0,0,0,0,0,0,0,694,88,0,0,0,0,0,0,1254,0,0,0,464,0,0,0,0,0,0,0,0,63,24,65,0,29,0,0,108,406,0,1706,56,166,112,89,0,9497
490,0,491,142,0,0,0,168,56,178,115,0,0,0,0,0,0,0,0,0,0,0,426,10,0,0,0,244,50,0,0,586,0,0,480,386,0,0,0,59,30,0,690,0,8,176,0,0,0,0,0,29,0,0,0,0,0,0,348,0,0,0,0,0,0,0,0,680,67,0,0,0,0,0,0,1270,0,0,0,443,0,0,0,0,0,0,0,0,64,28,59,0,19,0,0,125,425,0,1710,60,165,113,100,0,9509
491,0,449,154,0,0,0,173,60,193,88,0,0,0,0,0,0,0,0,0,0,0,474,14,0,0,0,253,50,0,0,590,0,0,473,378,0,0,0,58,29,0,650,0,13,168,0,0,0,0,0,25,0,0,0,0,0,0,370,0,0,0,0,0,0,0,0,696,59,0,0,0,0,0,0,1203,0,0,0,481,0,0,0,0,0,0,0,0,61,39,62,0,18,0,0,133,427,0,1725,59,139,117,119,0,9551
492,0,427,151,0,0,0,192,64,209,97,0,0,0,0,0,0,0,0,0,0,0,502,18,0,0,0,242,48,0,0,599,0,0,508,358,0,0,0,36,35,0,644,0,8,143,0,0,0,0,0,41,0,0,0,0,0,0,376,0,0,0,0,0,0,0,0,685,53,0,0,0,0,0,0,1169,0,0,0,485,0,0,0,0,0,0,0,0,63,37,64,0,18,0,0,138,447,0,1697,49,146,130,121,0,9573
493,0,438,145,0,0,0,170,61,213,93,0,0,0,0,0,0,0,0,0,0,0,523,17,0,0,0,219,50,0,0,581,0,0,486,357,0,0,0,39,35,0,655,0,5,147,0,0,0,0,0,41,0,0,0,0,0,0,371,0,0,0,0,0,0,0,0,697,65,0,0,0,0,0,0,1181,0,0,0,512,0,0,0,0,0,0,0,0,67,21,54,0,14,0,0,135,437,0,1723,46,155,135,112,0,9562
494,0,443,115,0,0,0,180,57,207,84,0,0,0,0,0,0,0,0,0,0,0,554,16,0,0,0,206,49,0,0,597,0,0,449,357,0,0,0,45,31,0,637,0,8,173,0,0,0,0,0,49,0,0,0,0,0,0,381,0,0,0,0,0,0,0,0,691,81,0,0,0,0,0,0,1174,0,0,0,509,0,0,0,0,0,0,0,0,63,22,70,0,16,0,0,136,437,0,1722,59,156,123,103,0,9557
495,0,396,103,0,0,0,200,37,194,78,0,0,0,0,0,0,0,0,0,0,0,526,20,0,0,0,222,62,0,0,591,0,0,420,347,0,0,0,45,43,0,640,0,6,150,0,0,0,0,0,60,0,0,0,0,0,0,385,0,0,0,0,0,0,0,0,713,65,0,0,0,0,0,0,1158,0,0,0,550,0,0,0,0,0,0,0,0,67,21,72,0,18,0,0,127,447,0,1793,66,156,134,88,0,9604
496,0,402,79,0,0,0,200,36,179,91,0,0,0,0,0,0,0,0,0,0,0,499,23,0,0,0,230,54,0,0,622,0,0,397,409,0,0,0,44,57,0,637,0,6,167,0,0,0,0,0,66,0,0,0,0,0,0,376,0,0,0,0,0,0,0,0,700,47,0,0,0,0,0,0,1098,0,0,0,554,0,0,0,0,0,0,0,0,63,17,81,0,28,0,0,133,468,0,1812,68,160,130,67,0,9598
497,0,382,82,0,0,0,198,37,167,90,0,0,0,0,0,0,0,0,0,0,0,503,18,0,0,0,242,39,0,0,609,0,0,392,404,0,0,0,44,52,0,626,0,4,163,0,0,0,0,0,52,0,0,0,0,0,0,369,0,0,0,0,0,0,0,0,724,46,0,0,0,0,0,0,1140,0,0,0,524,0,0,0,0,0,0,0,0,70,9,82,0,25,0,0,136,489,0,1852,64,163,131,72,0,9618
